Date,Open,High,Low,Close,Adj Close,Volume
2019-10-30,89.909798,89.909798,89.909798,89.909798,89.909798,0
2019-10-31,90.265404,90.265404,90.265404,90.265404,90.265404,0
2019-11-01,90.289001,90.289001,90.289001,90.289001,90.289001,0
2019-11-04,90.807602,90.807602,90.807602,90.807602,90.807602,0
2019-11-05,90.438599,90.438599,90.438599,90.438599,90.438599,0
2019-11-06,90.285004,90.285004,90.285004,90.285004,90.285004,0
2019-11-07,90.769798,90.769798,90.769798,90.769798,90.769798,0
2019-11-08,90.249397,90.249397,90.249397,90.249397,90.249397,0
2019-11-11,90.185402,90.185402,90.185402,90.185402,90.185402,0
2019-11-12,null,null,null,null,null,null
2019-11-13,90.375397,90.375397,90.375397,90.375397,90.375397,0
2019-11-14,90.276100,90.276100,90.276100,90.276100,90.276100,0
2019-11-15,89.893097,89.893097,89.893097,89.893097,89.893097,0
2019-11-19,89.647903,89.647903,89.647903,89.647903,89.647903,0
2019-11-20,89.609497,89.609497,89.609497,89.609497,89.609497,0
2019-11-21,89.719803,89.719803,89.719803,89.719803,89.719803,0
2019-11-22,89.436996,89.436996,89.436996,89.436996,89.436996,0
2019-11-25,89.927803,89.927803,89.927803,89.927803,89.927803,0
2019-11-26,89.246399,89.246399,89.246399,89.246399,89.246399,0
2019-11-27,89.315201,89.315201,89.315201,89.315201,89.315201,0
2019-11-28,89.080002,89.080002,89.080002,89.080002,89.080002,0
2019-11-29,89.311501,89.311501,89.311501,89.311501,89.311501,0
2019-12-02,88.538597,88.538597,88.538597,88.538597,88.538597,0
2019-12-03,88.210297,88.210297,88.210297,88.210297,88.210297,0
2019-12-04,88.530098,88.530098,88.530098,88.530098,88.530098,0
2019-12-05,88.553802,88.553802,88.553802,88.553802,88.553802,0
2019-12-06,88.029900,88.029900,88.029900,88.029900,88.029900,0
2019-12-09,87.687698,87.687698,87.687698,87.687698,87.687698,0
2019-12-10,86.665901,86.665901,86.665901,86.665901,86.665901,0
2019-12-11,86.287697,86.287697,86.287697,86.287697,86.287697,0
2019-12-13,87.213097,87.213097,87.213097,87.213097,87.213097,0
2019-12-16,86.450302,86.450302,86.450302,86.450302,86.450302,0
2019-12-17,86.701103,86.701103,86.701103,86.701103,86.701103,0
2019-12-18,86.619202,86.619202,86.619202,86.619202,86.619202,0
2019-12-19,86.883797,86.883797,86.883797,86.883797,86.883797,0
2019-12-20,86.987801,86.987801,86.987801,86.987801,86.987801,0
2019-12-23,87.498398,87.498398,87.498398,87.498398,87.498398,0
2019-12-24,87.490501,87.490501,87.490501,87.490501,87.490501,0
2019-12-26,87.632698,87.632698,87.632698,87.632698,87.632698,0
2019-12-27,88.251900,88.251900,88.251900,88.251900,88.251900,0
2019-12-30,88.263298,88.263298,88.263298,88.263298,88.263298,0
2019-12-31,88.172699,88.172699,88.172699,88.172699,88.172699,0
2020-01-02,88.581497,88.581497,88.581497,88.581497,88.581497,0
2020-01-03,88.280502,88.280502,88.280502,88.280502,88.280502,0
2020-01-06,86.897697,86.897697,86.897697,86.897697,86.897697,0
2020-01-07,87.173698,87.173698,87.173698,87.173698,87.173698,0
2020-01-08,86.908203,86.908203,86.908203,86.908203,86.908203,0
2020-01-09,87.936798,87.936798,87.936798,87.936798,87.936798,0
2020-01-10,88.055199,88.055199,88.055199,88.055199,88.055199,0
2020-01-13,88.365997,88.365997,88.365997,88.365997,88.365997,0
2020-01-14,88.832703,88.832703,88.832703,88.832703,88.832703,0
2020-01-15,89.364403,89.364403,89.364403,89.364403,89.364403,0
2020-01-16,90.329803,90.329803,90.329803,90.329803,90.329803,0
2020-01-17,91.469704,91.469704,91.469704,91.469704,91.469704,0
2020-01-20,91.289497,91.289497,91.289497,91.289497,91.289497,0
2020-01-21,91.086197,91.086197,91.086197,91.086197,91.086197,0
2020-01-22,91.608299,91.608299,91.608299,91.608299,91.608299,0
