Date,Open,High,Low,Close,Adj Close,Volume
2018-03-09,117.468002,117.468002,117.468002,117.468002,117.468002,0
2018-03-12,118.628998,118.628998,118.628998,118.628998,118.628998,0
2018-03-13,119.311996,119.311996,119.311996,119.311996,119.311996,0
2018-03-14,119.295998,119.295998,119.295998,119.295998,119.295998,0
2018-03-15,119.210999,119.210999,119.210999,119.210999,119.210999,0
2018-03-16,118.070000,118.070000,118.070000,118.070000,118.070000,0
2018-03-19,115.838997,115.838997,115.838997,115.838997,115.838997,0
2018-03-20,115.947998,115.947998,115.947998,115.947998,115.947998,0
2018-03-21,116.443001,116.443001,116.443001,116.443001,116.443001,0
2018-03-22,115.196999,115.196999,115.196999,115.196999,115.196999,0
2018-03-23,113.975998,113.975998,113.975998,113.975998,113.975998,0
2018-03-26,115.285004,115.285004,115.285004,115.285004,115.285004,0
2018-03-27,116.802002,116.802002,116.802002,116.802002,116.802002,0
2018-03-28,115.429001,115.429001,115.429001,115.429001,115.429001,0
2018-04-02,117.316002,117.316002,117.316002,117.316002,117.316002,0
2018-04-03,119.069000,119.069000,119.069000,119.069000,119.069000,0
2018-04-04,117.986000,117.986000,117.986000,117.986000,117.986000,0
2018-04-05,120.487000,120.487000,120.487000,120.487000,120.487000,0
2018-04-06,120.917999,120.917999,120.917999,120.917999,120.917999,0
2018-04-09,121.335999,121.335999,121.335999,121.335999,121.335999,0
2018-04-10,121.526001,121.526001,121.526001,121.526001,121.526001,0
2018-04-11,122.016998,122.016998,122.016998,122.016998,122.016998,0
2018-04-12,121.755997,121.755997,121.755997,121.755997,121.755997,0
2018-04-13,121.429001,121.429001,121.429001,121.429001,121.429001,0
2018-04-16,121.811996,121.811996,121.811996,121.811996,121.811996,0
2018-04-17,121.939003,121.939003,121.939003,121.939003,121.939003,0
2018-04-18,121.259003,121.259003,121.259003,121.259003,121.259003,0
2018-04-19,121.874001,121.874001,121.874001,121.874001,121.874001,0
2018-04-20,121.924004,121.924004,121.924004,121.924004,121.924004,0
2018-04-23,121.876999,121.876999,121.876999,121.876999,121.876999,0
2018-04-24,121.720001,121.720001,121.720001,121.720001,121.720001,0
